2015-02-21, Colchester Utd, Bristol City, 3, 2, vs, TRUE
2015-02-21, Leyton Orient, Oldham Athletic, 3, 0, vs, TRUE
2015-02-21, MK Dons, P'borough Utd, 3, 0, vs, TRUE
2015-02-21, Rochdale, Chesterfield, 1, 0, vs, TRUE
2015-02-21, Preston, Scunthorpe Utd, 2, 0, vs, TRUE
2015-02-21, Port Vale, Doncaster, 3, 0, vs, TRUE
2015-02-24, Rochdale, Sheffield Utd, 1, 2, vs, TRUE
2015-02-24, Swindon Town, Bradford City, 2, 1, vs, TRUE
2015-02-24, Doncaster, Bristol City, 1, 3, vs, TRUE
2015-02-24, Preston, Walsall, 1, 0, vs, TRUE
2015-02-24, Scunthorpe Utd, Barnsley, 0, 1, vs, TRUE
2015-02-28, Notts County, Port Vale, 0, 1, vs, TRUE
2015-02-28, Oldham Athletic, Preston, 0, 4, vs, TRUE
2015-02-28, Coventry City, MK Dons, 2, 1, vs, TRUE
2015-02-28, Crawley Town, Sheffield Utd, 1, 1, vs, TRUE
2015-02-28, Gillingham, Barnsley, 0, 1, vs, TRUE
2015-02-28, Scunthorpe Utd, Yeovil Town, 1, 1, vs, TRUE
2015-02-28, Walsall, Leyton Orient, 0, 2, vs, TRUE
2015-02-28, P'borough Utd, Bradford City, 2, 0, vs, TRUE
2015-02-28, Bristol City, Rochdale, 1, 0, vs, TRUE
2015-02-28, Crewe Alexandra, Swindon Town, 0, 0, vs, TRUE
2015-02-28, Chesterfield, Fleetwood Town, 3, 0, vs, TRUE
2015-02-28, Doncaster, Colchester Utd, 2, 0, vs, TRUE
2015-03-03, MK Dons, Chesterfield, 1, 2, vs, TRUE
2015-03-03, Yeovil Town, Walsall, 0, 1, vs, TRUE
2015-03-03, Colchester Utd, Notts County, 0, 1, vs, TRUE
2015-03-03, Bradford City, Crawley Town, 1, 0, vs, TRUE
2015-03-03, Swindon Town, Gillingham, 0, 3, vs, TRUE
2015-03-03, Leyton Orient, Bristol City, 1, 3, vs, TRUE
2015-03-03, Fleetwood Town, Scunthorpe Utd, 2, 2, vs, TRUE
2015-03-03, Barnsley, Coventry City, 1, 0, vs, TRUE
