2016-05-21, Flash, Sky Blue, 5, 2, vs, TRUE
2016-05-21, Thorns, Spirit, 4, 1, vs, TRUE
2016-05-22, Boston, Kansas City, 1, 0, vs, TRUE
2016-05-22, Reign, Red Stars, 1, 2, vs, TRUE
2016-05-27, Flash, Boston, 4, 0, vs, TRUE
2016-05-28, Kansas City, Pride, 2, 0, vs, TRUE
2016-05-29, Red Stars, Sky Blue, 1, 1, vs, TRUE
2016-05-29, Thorns, Reign, 0, 0, vs, TRUE
2016-06-10, Boston, Spirit, 1, 1, vs, TRUE
2016-06-11, Flash, Pride, 1, 0, vs, TRUE
2016-06-11, Sky Blue, Kansas City, 1, 1, vs, TRUE
2016-06-12, Red Stars, Thorns, 1, 1, vs, TRUE
2016-06-12, Reign, Dash, 1, 0, vs, TRUE
2016-06-17, Flash, Thorns, 0, 2, vs, TRUE
2016-06-18, Red Stars, Boston, 3, 0, vs, TRUE
2016-06-18, Spirit, Pride, 2, 0, vs, TRUE
2016-06-19, Dash, Kansas City, 0, 1, vs, TRUE
2016-06-19, Sky Blue, Reign, 0, 0, vs, TRUE
2016-06-22, Thorns, Red Stars, 2, 0, vs, TRUE
2016-06-23, Pride, Dash, 1, 0, vs, TRUE
2016-06-24, Flash, Boston, 7, 1, vs, TRUE
2016-06-25, Kansas City, Reign, 0, 0, vs, TRUE
2016-06-25, Spirit, Sky Blue, 1, 2, vs, TRUE
2016-06-26, Pride, Thorns, 1, 2, vs, TRUE
2016-07-01, Flash, Red Stars, 2, 0, vs, TRUE
2016-07-02, Reign, Boston, 2, 0, vs, TRUE
2016-07-02, Spirit, Kansas City, 2, 0, vs, TRUE
2016-07-02, Thorns, Sky Blue, 2, 1, vs, TRUE
2016-07-09, Flash, Reign, 3, 2, vs, TRUE
2016-07-09, Sky Blue, Dash, 1, 0, vs, TRUE
2016-07-09, Spirit, Red Stars, 2, 0, vs, TRUE
2016-07-09, Thorns, Kansas City, 1, 2, vs, TRUE
2016-07-10, Pride, Boston, 2, 1, vs, TRUE
2016-07-16, Dash, Thorns, 3, 0, vs, TRUE
2016-07-16, Kansas City, Spirit, 2, 3, vs, TRUE
2016-07-16, Pride, Red Stars, 0, 1, vs, TRUE
2016-07-16, Reign, Flash, 1, 1, vs, TRUE
2016-07-17, Boston, Sky Blue, 2, 3, vs, TRUE
2016-07-23, Flash, Kansas City, 0, 1, vs, TRUE
2016-07-23, Red Stars, Dash, 1, 1, vs, TRUE
2016-07-23, Reign, Pride, 5, 2, vs, TRUE
2016-07-23, Sky Blue, Spirit, 1, 0, vs, TRUE
2016-07-30, Dash, Flash, 3, 3, vs, TRUE
2016-07-30, Red Stars, Kansas City, 1, 0, vs, TRUE
2016-07-30, Thorns, Reign, 1, 0, vs, TRUE
2016-07-31, Boston, Pride, 1, 0, vs, TRUE
2016-07-31, Spirit, Sky Blue, 3, 1, vs, TRUE
2016-08-18, Dash, Spirit, 1, 2, vs, TRUE
2016-08-26, Pride, Spirit, 1, 2, vs, TRUE
2016-08-27, Flash, Dash, 2, 2, vs, TRUE
2016-08-27, Reign, Thorns, 3, 1, vs, TRUE
2016-08-27, Sky Blue, Red Stars, 1, 3, vs, TRUE
2016-08-28, Kansas City, Boston, 0, 2, vs, TRUE
2016-08-31, Boston, Dash, 1, 3, vs, TRUE
2016-09-03, Dash, Pride, 4, 2, vs, TRUE
2016-09-03, Spirit, Flash, 1, 1, vs, TRUE
2016-09-04, Kansas City, Sky Blue, 2, 1, vs, TRUE
2016-09-04, Red Stars, Reign, 2, 2, vs, TRUE
2016-09-04, Thorns, Boston, 5, 1, vs, TRUE
2016-09-07, Boston, Flash, 2, 2, vs, TRUE
2016-09-07, Red Stars, Kansas City, 2, 3, vs, TRUE
2016-09-07, Sky Blue, Pride, 1, 1, vs, TRUE
2016-09-07, Spirit, Reign, 2, 1, vs, TRUE
2016-09-07, Thorns, Dash, 3, 0, vs, TRUE
2016-09-10, Pride, Sky Blue, 1, 2, vs, TRUE
2016-09-11, Dash, Boston, 4, 1, vs, TRUE
2016-09-11, Kansas City, Red Stars, 0, 0, vs, TRUE
2016-09-11, Reign, Spirit, 2, 0, vs, TRUE
2016-09-11, Thorns, Flash, 3, 2, vs, TRUE
2016-09-24, Boston, Flash, 0, 4, vs, TRUE
2016-09-24, Pride, Kansas City, 1, 2, vs, TRUE
2016-09-24, Red Stars, Spirit, 3, 1, vs, TRUE
