1999-06-22, Detroit Shock, Charlotte Sting, 75, 69, vs
1999-06-22, Houston Comets, Los Angeles Sparks, 84, 76, vs
1999-06-22, Sacramento Monarchs, Minnesota Lynx, 79, 62, vs
1999-06-22, Washington Mystics, Phoenix Mercury, 76, 79, vs
1999-06-24, Charlotte Sting, Phoenix Mercury, 88, 72, vs
1999-06-24, Detroit Shock, Houston Comets, 65, 77, vs
1999-06-24, Los Angeles Sparks, Minnesota Lynx, 73, 86, vs
1999-06-24, Sacramento Monarchs, Utah Starzz, 107, 69, vs
1999-06-25, Cleveland Rockers, Charlotte Sting, 57, 59, vs
1999-06-25, Washington Mystics, Houston Comets, 69, 72, vs
1999-06-26, Cleveland Rockers, Washington Mystics, 76, 65, vs
1999-06-26, Detroit Shock, Phoenix Mercury, 60, 66, vs
1999-06-26, Sacramento Monarchs, Los Angeles Sparks, 73, 76, vs
1999-06-26, Utah Starzz, Minnesota Lynx, 62, 72, vs
1999-06-27, New York Liberty, Charlotte Sting, 72, 58, vs
1999-06-28, Cleveland Rockers, Phoenix Mercury, 70, 51, vs
1999-06-28, Detroit Shock, New York Liberty, 91, 71, vs
1999-06-28, Houston Comets, Orlando Miracle, 66, 68, vs
1999-06-28, Los Angeles Sparks, Utah Starzz, 102, 70, vs
1999-06-29, Minnesota Lynx, Sacramento Monarchs, 72, 86, vs
1999-06-30, Charlotte Sting, Washington Mystics, 63, 68, vs
1999-06-30, Utah Starzz, Houston Comets, 68, 78, vs
1999-07-01, Houston Comets, Cleveland Rockers, 76, 64, vs
1999-07-01, Minnesota Lynx, Los Angeles Sparks, 77, 81, vs
1999-07-01, New York Liberty, Phoenix Mercury, 83, 67, vs
1999-07-02, Detroit Shock, Los Angeles Sparks, 81, 91, vs
1999-07-02, Utah Starzz, Cleveland Rockers, 83, 68, vs
1999-07-02, Washington Mystics, Sacramento Monarchs, 74, 79, vs
1999-07-03, Houston Comets, New York Liberty, 65, 50, vs
1999-07-03, Minnesota Lynx, Phoenix Mercury, 56, 47, vs
1999-07-03, Orlando Miracle, Charlotte Sting, 58, 75, vs
1999-07-04, Detroit Shock, Sacramento Monarchs, 78, 92, vs
1999-07-05, Los Angeles Sparks, Cleveland Rockers, 74, 72, vs
1999-07-05, New York Liberty, Sacramento Monarchs, 76, 63, vs
1999-07-06, Houston Comets, Minnesota Lynx, 80, 54, vs
1999-07-06, Utah Starzz, Detroit Shock, 104, 94, vs
1999-07-06, Washington Mystics, New York Liberty, 71, 63, vs
1999-07-07, Charlotte Sting, Cleveland Rockers, 75, 62, vs
1999-07-07, Orlando Miracle, Minnesota Lynx, 66, 71, vs
1999-07-07, Phoenix Mercury, Los Angeles Sparks, 61, 67, vs
1999-07-08, Cleveland Rockers, New York Liberty, 49, 84, vs
1999-07-08, Sacramento Monarchs, Houston Comets, 74, 63, vs
1999-07-08, Washington Mystics, Utah Starzz, 65, 81, vs
1999-07-09, Charlotte Sting, Orlando Miracle, 61, 66, vs
1999-07-09, Los Angeles Sparks, Sacramento Monarchs, 72, 77, vs
1999-07-09, Phoenix Mercury, Houston Comets, 70, 71, vs
1999-07-10, Cleveland Rockers, Charlotte Sting, 82, 56, vs
1999-07-10, Detroit Shock, Washington Mystics, 78, 83, vs
1999-07-10, Orlando Miracle, Utah Starzz, 62, 56, vs
1999-07-11, Houston Comets, Sacramento Monarchs, 68, 63, vs
1999-07-11, Los Angeles Sparks, Phoenix Mercury, 67, 58, vs
1999-07-11, New York Liberty, Minnesota Lynx, 56, 58, vs
1999-07-12, Cleveland Rockers, Minnesota Lynx, 67, 55, vs
1999-07-12, Orlando Miracle, Detroit Shock, 67, 76, vs
1999-07-12, Utah Starzz, Phoenix Mercury, 66, 80, vs
1999-07-12, Washington Mystics, Charlotte Sting, 74, 71, vs
